,location,total_sqft,bath,price,bhk,encoded_loc
0,Electronic City Phase II,1056.0,2,39.07,2,75
1,Chikka Tirupathi,2600.0,5,120.0,4,57
2,Uttarahalli,1440.0,2,62.0,3,216
3,Lingadheeranahalli,1521.0,3,95.0,3,154
4,Kothanur,1200.0,2,51.0,2,146
5,Whitefield,1170.0,2,38.0,2,224
6,Old Airport Road,2732.0,4,204.0,4,176
7,Marathahalli,1310.0,3,63.25,3,161
8,Whitefield,1800.0,2,70.0,3,224
9,7th Phase JP Nagar,1000.0,2,38.0,2,6
10,Gottigere,1100.0,2,40.0,2,82
11,Sarjapur,2250.0,3,148.0,3,193
12,Mysore Road,1175.0,2,73.5,2,166
13,Bisuvanahalli,1180.0,3,48.0,3,46
14,Raja Rajeshwari Nagar,1540.0,3,60.0,3,184
15,others,1100.0,2,48.0,2,230
16,Binny Pete,1755.0,3,122.0,3,45
17,Bellandur,1767.0,3,103.0,3,40
18,Thanisandra,510.0,1,25.25,1,209
19,others,1250.0,3,56.0,3,230
20,Electronic City,660.0,1,23.1,2,74
21,Whitefield,1610.0,3,81.0,3,224
22,Ramagondanahalli,1151.0,2,48.77,2,187
23,Electronic City,1025.0,2,47.0,3,74
24,Yelahanka,3525.0,4,186.0,4,226
25,Bisuvanahalli,1075.0,2,35.0,3,46
26,Hebbal,1760.0,2,123.0,3,92
27,Raja Rajeshwari Nagar,1693.0,3,57.39,3,184
28,Kasturi Nagar,1925.0,3,125.0,3,131
29,Kanakpura Road,700.0,2,36.0,2,127
30,Electronics City Phase 1,1070.0,2,45.5,2,76
31,Kundalahalli,1724.0,3,125.0,3,150
32,Chikkalasandra,1290.0,2,56.12,3,59
33,Uttarahalli,1143.0,2,45.0,2,216
34,Murugeshpalya,1296.0,2,81.0,2,165
35,Sarjapur  Road,1254.0,3,38.0,3,194
36,others,600.0,1,38.0,1,230
37,Yelahanka,660.0,1,48.0,1,226
38,Kanakpura Road,1330.74,2,91.79,2,127
39,Doddathoguru,970.0,2,33.0,2,70
40,Whitefield,1459.0,2,94.82,2,224
41,others,869.0,2,36.0,2,230
42,others,1270.0,2,50.0,2,230
43,Bhoganhalli,1670.0,3,99.0,3,43
44,Whitefield,2010.0,3,91.0,3,224
45,Lakshminarayana Pura,1185.0,2,75.0,2,153
46,Yelahanka,1600.0,2,75.0,3,226
47,Begur Road,1200.0,2,44.0,2,39
48,Devanahalli,4715.0,2,192.0,4,65
49,others,840.0,2,45.0,2,230
50,others,4395.0,3,240.0,3,230
51,others,845.0,2,55.0,2,230
52,Varthur,1160.0,2,44.0,2,217
53,Bommanahalli,3000.0,8,140.0,8,47
54,Doddathoguru,1100.0,2,62.0,2,70
55,Gunjur,1140.0,2,43.0,2,85
56,Marathahalli,1220.0,2,57.0,2,161
57,Kanakpura Road,1005.0,2,36.68,2,127
58,Begur Road,1358.0,2,80.58,2,39
59,Hegde Nagar,1569.0,3,101.0,3,94
60,Haralur Road,1240.0,2,70.0,2,90
61,Hennur Road,2089.0,3,140.0,3,96
62,Kothannur,1206.0,2,48.23,2,145
63,Kalena Agrahara,1150.0,2,40.0,2,121
64,others,2511.0,3,205.0,3,230
65,ISRO Layout,4400.0,6,250.0,6,106
66,others,1660.0,2,105.0,3,230
67,Hennur Road,4682.0,2,224.5,4,96
68,Yelahanka,1326.0,2,78.0,2,226
69,Garudachar Palya,1325.0,2,60.8,3,79
70,EPIP Zone,1499.0,5,102.0,3,73
71,Hegde Nagar,3000.0,7,210.0,6,94
72,Kanakpura Road,1665.0,3,88.0,3,127
73,Dasanapura,708.0,2,37.0,2,63
74,Kasavanhalli,1060.0,2,58.06,2,130
75,Sanjay nagar,1000.0,2,70.0,2,191
76,Electronic City,1000.0,2,28.88,2,74
77,others,1450.0,2,70.0,3,230
78,Thanisandra,1296.0,2,80.0,2,209
79,Domlur,1540.0,3,90.0,3,71
80,Sarjapura - Attibele Road,1330.0,2,48.0,3,195
81,others,1200.0,2,65.0,2,230
82,others,1200.0,3,90.0,3,230
83,Yeshwanthpur,2502.0,3,138.0,3,229
84,Kothanur,2400.0,2,150.0,3,146
85,others,1007.0,2,43.0,2,230
86,others,1200.0,2,50.0,2,230
87,others,966.0,2,49.9,2,230
88,Nagarbhavi,1630.0,2,98.0,3,169
89,others,782.0,2,55.68,2,230
90,Devanahalli,1260.0,2,66.78,2,65
91,others,1800.0,3,120.0,3,230
92,others,1413.0,2,75.0,3,230
93,Whitefield,1116.0,2,51.91,2,224
94,Electronic City,1530.0,2,45.9,3,74
95,Ramamurthy Nagar,3700.0,4,225.0,4,188
96,Sarjapur  Road,2497.0,3,140.0,3,194
97,Kengeri,1540.0,2,64.0,3,135
98,Thanisandra,1436.0,3,74.75,3,209
99,Malleshwaram,1100.0,2,75.0,2,160
100,Hebbal,7145.0,4,477.0,4,92
101,Shampura,2650.0,4,150.0,4,199
102,Devanahalli,1282.0,2,68.52,3,65
103,Kadugodi,1050.0,2,34.0,2,117
104,LB Shastri Nagar,1600.0,3,65.0,3,151
105,others,945.0,2,54.0,2,230
106,Hormavu,1500.0,2,78.0,2,100
107,others,1870.0,3,110.0,3,230
108,Sarjapur,1600.0,3,75.0,3,193
109,Kudlu Gate,1535.0,3,83.0,3,148
110,Kanakpura Road,950.0,2,57.0,2,127
111,Devanahalli,1360.0,2,65.0,2,65
112,8th Phase JP Nagar,1594.5,2,54.005,2,7
113,Bommasandra Industrial Area,1280.0,3,50.4,3,49
114,others,1260.0,2,85.05,3,230
115,Hennur Road,5000.0,8,250.0,8,96
116,Yelahanka,3050.0,5,213.0,5,226
117,Kasavanhalli,1563.05,3,105.0,3,130
118,ISRO Layout,1000.0,2,60.0,2,106
119,Anandapura,1167.0,2,43.76,2,15
120,Vishveshwarya Layout,4000.0,7,225.0,7,221
121,Kothanur,1828.0,3,110.0,3,146
122,Kengeri Satellite Town,890.0,2,35.0,2,136
123,others,1612.0,3,46.74,3,230
124,Mysore Road,1710.0,4,91.31,3,166
125,Kannamangala,957.0,2,58.0,2,128
126,Devarachikkanahalli,1250.0,2,44.0,3,66
127,Hulimavu,1125.0,2,50.0,2,105
128,Electronic City Phase II,1020.0,2,30.6,2,75
129,Kalena Agrahara,1200.0,2,50.0,2,121
130,Thanisandra,1735.0,3,135.0,3,209
131,Thanisandra,2050.0,3,145.0,3,209
132,others,1350.0,2,48.0,3,230
133,Hosa Road,1063.0,2,32.0,2,101
134,others,1904.0,3,150.0,3,230
135,others,1425.0,2,75.0,3,230
136,Electronic City,1500.0,2,64.5,3,74
137,Electronic City,1060.0,2,60.0,2,74
138,others,1470.0,2,70.0,3,230
139,Electronic City,1152.0,2,64.5,2,74
140,Electronic City,1350.0,2,56.0,3,74
141,CV Raman Nagar,1550.0,3,65.0,3,53
142,others,1500.0,3,100.0,3,230
143,Nagavara,400.0,1,14.0,1,171
144,Electronic City,770.0,1,36.0,2,74
145,Hulimavu,1242.0,2,51.0,2,105
146,Thanisandra,2144.0,3,145.0,3,209
147,Vijayanagar,1704.0,3,110.0,3,220
148,Electronic City,1070.0,2,52.0,2,74
149,others,1340.0,2,55.7,2,230
150,Electronic City,1025.0,2,46.0,2,74
151,KR Puram,1785.0,2,56.8,2,115
152,Marathahalli,1200.0,2,52.0,2,161
153,Kanakpura Road,2250.0,4,110.0,4,127
154,others,1550.0,2,80.0,3,230
155,Marathahalli,1200.0,2,60.0,2,161
156,Yelahanka,1327.0,2,98.0,2,226
157,Kothanur,1186.0,2,58.0,2,146
158,others,1783.0,3,115.0,3,230
159,HSR Layout,1400.0,3,56.0,3,89
160,Nagasandra,980.0,2,48.0,2,170
161,EPIP Zone,1285.0,2,82.0,2,73
162,others,912.0,2,70.0,3,230
163,Whitefield,1225.0,2,47.6,2,224
164,Whitefield,1075.0,2,53.0,2,224
165,Kadugodi,1260.0,2,54.0,3,117
166,Yelahanka,1282.0,2,48.7,3,226
